Country,Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Depth of credit information index (0=low to 8=high),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)",Export value index (2000 = 100),Export volume index (2000 = 100),"Fertility rate, total (births per woman)",Fixed broadband Internet subscribers (per 100 people),GDP growth (annual %),GDP per capita (constant 2005 US$),"GDP per capita, PPP (constant 2011 international $)",Individuals using the Internet (% of population),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Mobile cellular subscriptions (per 100 people),"Own-account workers, female (% of female employment) (modeled ILO estimate)","Own-account workers, male (% of male employment) (modeled ILO estimate)","Own-account workers, total (% of male employment) (modeled ILO estimate)",Population ages 0-14 (% of total),"Population ages 0-14, total",Population ages 15-64 (% of total),"Population ages 15-64, total",Population ages 65 and above (% of total),"Population ages 65 and above, total",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Private credit bureau coverage (% of adults),Public credit registry coverage (% of adults),Rural population,Rural population (% of total population),"Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)",Tax payments (number),Telephone lines (per 100 people),Time required to enforce a contract (days),Time required to start a business (days),Time to prepare and pay taxes (hours),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Urban population,Urban population (% of total),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Net trade in goods and services (BoP, current US$)"
Norway,100.0,5.6814,52.4838216809139,0.194999992847443,0.175999999046326,0.185000002384186,6.0,0.908999979496002,2.63299989700317,1.81500005722046,2.08999991416931,0.982999980449677,3.08999991416931,19.4669990539551,6.93900012969971,30.7830009460449,78.443000793457,92.0790023803711,66.1269989013672,148.9951537,99.0000635,1.72,40.1430987227801,1.09146507169045,90316.9723439327,64159.544250136,97.2982036675068,60.882999420166,67.8280029296875,64.3720016479492,2768877.0,84.2,80.9,108.831075605925,3.46399998664856,6.34800004959106,4.98000001907349,17.8268610883907,933150.0,65.5807169741949,3432835.0,16.5924219374144,868533.0,14.3315281523361,0.849521232088731,5234519.0,100.0,0.0,969171.0,18.515,4.56899976730347,9.1569995880127,6.98000001907349,4.0,15.3607993158117,400.0,4.0,83.0,3.91199994087219,5.36299991607666,4.67999982833862,9.22799968719482,12.8970003128052,11.0989999771118,4265348.0,81.485,3.658999979496,6.52400004863739,5.16500002145768,95.4309997558594,90.8430023193359,93.0199966430664,6036031881.34822
Bangladesh,75.92,84.4078,51.4654234704502,37.7369995117188,4.66099977493286,13.9779996871948,0.0,0.395000010728836,3.74499988555908,2.80100011825562,41.140998840332,62.1339988708496,32.9090003967285,20.8379993438721,16.2269992828369,22.6459999084473,38.0209999084473,21.6399993896484,44.4449996948242,547.3686023,475.7667992,2.104,4.04561699194534,7.11346522765494,1029.57797933458,3319.35280468543,18.2469380029449,32.8899993896484,79.8050003051758,56.435001373291,65383994.0,74.294,70.891,83.4492446712385,33.2239990234375,47.7700004577637,43.6720008850098,28.9008537261012,47094392.0,66.0216686480326,107583339.0,5.07747762586624,8273829.0,1251.83652147192,1.08016523912062,162951560.0,0.0,0.9,105783264.0,64.917,71.3560028076172,56.1749992370605,60.451000213623,33.0,0.470190650522155,1442.0,19.5,435.0,7.19199991226196,3.18700003623962,4.34999990463257,13.8479995727539,9.94299983978271,11.0790004730225,57168296.0,35.083,70.9609985351563,52.4310002326966,57.6500005722046,28.6439990997314,43.8250007629395,39.548999786377,-10505302542.1777
Bhutan,100.0,22.0802,46.4630145386249,48.2220001220703,23.9459991455078,33.5279998779297,6.0,0.0509999990463257,0.108000002801418,0.0860000029206276,56.7569999694824,65.3850021362305,51.1300010681152,9.57900047302246,9.03499984741211,9.93400001525879,33.6640014648438,25.5809993743896,38.9360008239746,509.4262136,283.7153464,2.051,2.06689940019931,7.99070541132045,2801.27524003561,8253.29378307761,41.7726445321672,57.5709991455078,74.1699981689453,66.5299987792969,387787.0,70.459,69.933,87.5411932085263,36.0750007629395,39.0289993286133,37.8629989624023,26.9365038576523,214890.0,68.2766228149894,544687.0,4.78687332735831,38188.0,20.9293753443345,1.30954695486792,797765.0,26.0,0.0,483222.0,60.572,84.3489990234375,63.0830001831055,71.4769973754883,18.0,2.64250750534305,225.0,15.0,85.0,3.31699991226196,1.86199998855591,2.44199991226196,12.0459995269775,8.11999988555908,10.1260004043579,314543.0,39.428,84.2970008850098,62.9749984741211,71.390998840332,15.6510000228882,36.9169998168945,28.5230007171631,-594968891.454513
Gabon,91.3955001831055,98.484,67.624203487299,1.05799996852875,0.458999991416931,0.672999978065491,2.0,1.1710000038147,2.66400003433228,2.13199996948242,41.3009986877441,60.9469985961914,30.306999206543,12.5609998703003,3.31200003623962,17.7369995117188,46.1380004882813,35.7449989318848,51.9539985656738,225.9697822,133.3698887,3.786,0.758566835001359,2.08238031633867,9552.7835336818,16756.6944675998,48.0522737506185,42.523998260498,59.2350006103516,51.1959991455078,650081.0,67.765,64.535,149.636677903571,40.1290016174316,26.4589996337891,31.3269996643066,35.8623103709189,709997.0,59.657255885232,1181086.0,4.48043374384908,88703.0,7.68341677339232,2.53780856758881,1979786.0,0.0,50.8,226507.0,11.441,42.3580017089844,29.5830001831055,34.1319999694824,26.0,0.956972117188423,1160.0,47.0,488.0,28.6089992523193,14.0819997787476,19.886999130249,42.7970008850098,30.8269996643066,35.8709983825684,1753279.0,88.559,41.1870015859603,26.917999625206,31.9999996423721,57.6419982910156,70.4169998168945,65.8679962158203,4.711472602739726
Niger,16.2172336578369,194.009,111.778738663356,32.1399993896484,27.6219997406006,29.5869998931885,0.0,0.465000003576279,1.22099995613098,0.892000019550323,75.8030014038086,71.9810028076172,78.7460021972656,7.48999977111816,11.3430004119873,4.52400016784668,16.7059993743896,16.6760005950928,16.7299995422363,371.8993693,148.5807305,7.239,0.0372805342546774,4.92571448640469,392.148936453948,917.140115923232,4.32275803028068,67.5149993896484,90.6969985961914,78.9209976196289,8119897.0,61.111,59.088,36.1428273524286,58.5320014953613,59.3079986572266,58.9700012207031,50.2314832394564,10384348.0,47.2190932060277,9761597.0,2.54942355451585,527042.0,16.3203497276387,3.82606646670245,20672987.0,0.0,0.3,17305357.0,83.71,91.1370010375977,88.1510009765625,89.4499969482422,41.0,0.778058826235415,545.0,10.0,270.0,0.228000000119209,0.433999985456467,0.344999998807907,0.167999997735023,0.772000014781952,0.515999972820282,3367630.0,16.29,90.6720008850097,86.9299983978272,88.5570011138916,8.86299991607666,11.8489999771118,10.5500001907349,-1296759953.78187
Serbia,100.0,19.3052,50.1426907371844,12.9930000305176,4.2350001335144,8.06799983978271,7.0,1.96000003814697,4.44700002670288,3.35800004005432,18.6119995117188,16.1669998168945,20.5149993896484,24.4260005950928,16.298999786377,30.7520008087158,56.9620018005371,67.5339965820313,48.7330017089844,861.9719675,511.0732406,1.46,20.7781209075333,2.79732371859058,5852.38429895795,13720.8908914885,67.0568413716938,46.1380004882813,62.1189994812012,53.8720016479492,3172272.0,77.8,72.8,130.235002910596,11.6459999084473,26.496000289917,19.996000289917,16.5731433593085,1169786.0,66.6033074745442,4701076.0,16.8235491661473,1187460.0,80.7034301394923,-0.523694463062603,7058322.0,100.0,0.0,3119072.0,44.19,26.5990009307861,35.1780014038086,31.4230003356934,33.0,38.4416244636161,635.0,6.5,225.5,16.076000213623,14.6129999160767,15.2600002288818,38.9690017700195,31.7240009307861,34.4339981079102,3939250.0,55.81,24.6389999389649,30.7310004234314,28.0640001296997,73.4010009765625,64.8219985961914,68.5770034790039,-2447273760.13199
Oman,100.0,7.854,32.2058135442207,0.822000026702881,0.582000017166138,0.611000001430511,6.0,0.749000012874603,2.21000003814697,2.03699994087219,6.26700019836426,0.591000020503998,6.94899988174438,38.9959983825684,6.56199979782104,42.8930015563965,54.7369995117188,92.8570022583008,50.1570014953613,216.0577545,148.5831313,2.666,6.4330465683804,5.38416593631317,16962.3487787348,39883.9536508277,76.85,30.2639999389648,87.2119979858398,69.8379974365234,2409267.0,79.489,75.314,155.178063814506,9.39599990844727,8.30399990081787,8.43400001525879,22.0343602661567,974968.0,75.6396389229522,3346874.0,2.32600081089107,102920.0,14.2964846526656,5.21772055318657,4424762.0,0.0,22.7,774333.0,17.5,10.9670000076294,11.0959997177124,11.081000328064,15.0,9.54894297139598,598.0,6.3,68.0,13.246000289917,1.74600005149841,3.26600003242493,27.5429992675781,3.8050000667572,8.66199970245361,3650429.0,82.5,10.2179999351502,8.88599991798401,9.0450000166893,89.0329971313477,88.9039993286133,88.9189987182617,-124401464.605507
Nepal,90.7,62.0832,59.5400829804346,60.9720001220703,21.5009994506836,42.064998626709,0.0,0.433999985456467,2.15599989891052,1.25899994373322,72.2750015258789,83.3489990234375,60.2299995422363,7.78700017929077,6.19399976730347,9.52000045776367,19.9379997253418,10.4569997787476,30.25,86.5608209,55.30399669,2.118,0.773507819524917,0.412891876873147,685.118550346198,2297.65253885535,19.688763836629,82.7679977416992,85.9860000610352,84.2870025634766,16689835.0,71.877,68.66,110.825514233956,28.5520000457764,45.890998840332,36.8569984436035,31.6794208531682,9181574.0,62.6801729896703,18166451.0,5.64040615716144,1634746.0,202.181869550052,1.13288638478586,28982771.0,1.8,0.0,23492855.0,81.058,89.9580001831055,69.5469970703125,80.1809997558594,34.0,2.96119718849519,910.0,17.0,339.0,2.56100010871887,3.59999990463257,3.06200003623962,3.42799997329712,6.64300012588501,4.98899984359741,5489916.0,18.942,89.5240001678467,67.3919982910156,78.9219970703125,10.0419998168945,30.4529991149902,19.8190002441406,-7898498022.05001
Barbados,100.0,39.1876,50.9632650899171,0.133000001311302,0.104999996721745,0.119000002741814,0.0,0.646000027656555,1.08299994468689,0.86599999666214,2.85700011253357,1.84300005435944,3.85899996757507,19.3229999542236,9.39500045776367,29.1259994506836,77.8199996948242,88.7620010375977,67.0149993896484,189.8292638,96.87612219,1.797,32.4355429549888,1.99999999999972,16273.4065921271,16741.3797629383,79.5493978888735,62.568000793457,70.4960021972656,66.3050003051758,152668.0,78.251,73.448,116.565846538197,11.1579999923706,20.4009990692139,15.8090000152588,19.2090415304074,54745.0,66.2412805793766,188785.0,14.549677890216,41466.0,662.781395348837,0.273711417814496,284996.0,0.0,0.0,196097.0,68.807,11.9370002746582,21.5890007019043,16.7940006256104,28.0,49.0234950665974,1340.0,15.0,237.0,10.0920000076294,9.35000038146973,9.72000026702881,31.1919994354248,27.5690002441406,29.3199996948242,88899.0,31.193,11.2909999936819,20.5059990659356,15.9280000180006,88.0630035400391,78.411003112793,83.2060012817383,171899877.501825
Paraguay,98.4,56.6034,56.0448061269782,9.80900001525879,6.04899978637695,7.51100015640259,7.0,2.99799990653992,6.52699995040894,5.15500020980835,21.3239994049072,14.673999786377,25.5520000457764,19.4249992370605,8.3769998550415,26.4489994049072,59.2509994506836,76.9499969482422,47.9990005493164,386.0599379,238.3915267,2.48,3.71406038206726,4.01955495078894,3925.56335604809,8871.37954006657,53.4,56.273998260498,83.9889984130859,70.3089981079102,3323165.0,75.368,71.02,111.362542801014,32.3860015869141,31.0380001068115,31.5620002746582,29.7204826901608,1998794.0,64.084157930016,4309857.0,6.1953593798232,416657.0,16.9275308331236,1.28984497330693,6725308.0,45.3,24.4,2621122.0,38.974,45.1920013427734,43.6150016784668,44.2280006408691,20.0,5.21098810641832,606.0,35.0,378.0,6.73799991607666,4.27799987792969,5.25,15.3100004196167,9.07800006866455,11.4580001831055,4104186.0,61.026,42.1950016021729,37.0869998931884,39.0730004310608,54.8079986572266,56.3849983215332,55.7719993591309,2375901318.7079
Poland,100.0,13.0314,44.909394625885,3.83400011062622,1.68799996376038,2.65400004386902,8.0,2.57100009918213,5.09100008010864,3.95700001716614,10.5839996337891,9.40799999237061,11.5459995269775,31.44700050354,16.8850002288818,43.3610000610352,57.9679985046387,73.7070007324219,45.0919990539551,637.8980353,392.7576602,1.32,19.1707811840654,2.86432867930108,15067.9698510199,26035.8379036022,73.3007,49.0200004577637,65.431999206543,56.8600006103516,18393553.0,81.6,73.5,138.659500565215,10.4549999237061,17.113000869751,14.1169996261597,14.8043985505597,5621243.0,69.00863872065,26202640.0,16.1869627287903,6146204.0,124.008253045495,-0.04298513087435,37970087.0,92.5,0.0,15120448.0,39.822,16.8610000610352,23.8920001983643,20.7280006408691,7.0,21.3035204467512,685.0,37.0,271.0,6.22599983215332,6.10599994659424,6.15999984741211,17.9220008850098,17.363000869751,17.5919990539551,22849639.0,60.178,14.2890000343323,18.8010008335114,16.7709996700287,83.1389999389648,76.1080017089844,79.2720031738281,13979000000.0
